gene,signedsig__GSE125583_PRJNA516886_meta,signedsig__GSE159699_PRJNA670209_meta,signedsig__GSE231341_PRJNA964438_meta,signedsig__GSE95587_PRJNA377568_meta,signedsig__MayoRNAseq_cerebellum_meta1,signedsig__MayoRNAseq_cerebellum_meta2,signedsig__MSBB_meta1,signedsig__MSBB_meta2,signedsig__MSBB_meta3,signedsig__MSBB_meta4,signedsig__ROSMAP_meta1,signedsig__ROSMAP_meta6
ABCA2,0.1642404597918511,0.0433231512724243,0.0075298590029413,0.0667115537975469,0.1258937903171456,0.0787508064080303,0.0083556183448592,0.0168635338442252,0.0213083267569987,0.0091083427781167,0.0131029861713676,0.0115253280841741
ABCA3,0.0264301456843351,0.0741867495405848,0.0024904475970071,0.0138865716254191,0.0374617791997869,0.1225069171349387,0.0027480198014227,0.0119159939261502,0.0143358964460871,0.0180700426414985,0.0002711644837368,0.0140127920848303
ABCA4,0.0009254504534279,0.0002188991075588,0.0,0.0111128324192837,0.0484127085896702,0.0048573006052706,0.0008862070482575,0.0095497741509093,0.0114205760153836,0.0024795508891248,0.0645153319249584,0.000451611296192
ABCA5,0.0640776575148528,0.0144221054546118,0.0028500822581534,0.0465092791376125,0.2739231821869474,0.0105824282219722,0.0083128029365507,0.0136717908563712,0.0209138672564135,0.0231772925371005,0.0116264711870633,0.0059937518133187
ABCA6,0.0236434719140606,0.003126932233367,0.0069311179751014,0.016819860006785,0.1576776363150618,0.0859169733293064,0.01400768207052,0.0140879745945238,0.0375022023702982,0.0139972249313349,0.0073675655880576,0.0068794816311172
ABCA7,0.03328605907107,0.010341982891086,0.0094901511883464,0.0100846259231639,0.0879299625304686,0.0181805856742028,0.0238261399851991,0.0146712632640609,0.0336892442070362,0.0227876926533198,0.0064459387166989,0.0024188406003308
ABCA8,0.0275095230866372,0.0046818666159859,0.0099951343914581,0.0373137298567082,0.1209327543171839,0.0932275771862317,0.0035085100697827,0.0018689284701405,0.0116965054817003,0.0032786027770593,0.0062847943047459,0.0051940304210902
ABCA9,0.0300845798938769,0.0027594598490452,0.0042549346148959,0.023804722995177,0.034822965743419,0.0402677394729116,0.0017747730127771,0.0212977266411819,0.0029944780920791,0.0029498878672022,0.0016169700774153,0.004532480873515
ABCB1,0.0596742719681476,0.013368081193675,0.0047221580684053,0.0455464157406167,0.3448909116564327,0.3298098466645736,0.012318962670189,0.0028326629113568,0.029361090532558,0.0084368206951094,0.0043532484565718,0.0152121202127251
ABCB10,0.0124010299186941,0.0040670041174126,0.0029777661769248,0.0172131184512164,0.001144514851029,0.0003392537982766,0.0007803025784346,0.004572390914813,0.0012895301335099,0.0008284845105029,0.0008526041032111,0.0020203888864254
ABCB4,0.0031261565957836,0.0292208581553009,0.0077011060332652,0.0078564110634855,0.052143747634954,0.0167871530455797,0.0008232740885939,0.0395567518447838,0.0695837967760659,0.0109009428050869,0.002207345697718,0.0039676343537055
ABCB5,0.0043225849064691,1.5576118402031565e-06,0.0005312465557781,0.0124312503126291,0.0049220647519048,0.0307424402602143,0.0084319807463982,0.0024068462374318,0.0002995522902187,0.00067671582021,5.2641042797718026e-05,0.0010244098951647
